signal_date,symbol,entry_close,ret_15d,ret_15d_stop5,stop_hit_15d_stop5,ret_15d_stop6,stop_hit_15d_stop6,ret_15d_stop7,stop_hit_15d_stop7,ret_15d_stop8,stop_hit_15d_stop8,ret_30d,ret_30d_stop5,stop_hit_30d_stop5,ret_30d_stop6,stop_hit_30d_stop6,ret_30d_stop7,stop_hit_30d_stop7,ret_30d_stop8,stop_hit_30d_stop8,ret_60d,ret_60d_stop5,stop_hit_60d_stop5,ret_60d_stop6,stop_hit_60d_stop6,ret_60d_stop7,stop_hit_60d_stop7,ret_60d_stop8,stop_hit_60d_stop8,ret_100d,ret_100d_stop5,stop_hit_100d_stop5,ret_100d_stop6,stop_hit_100d_stop6,ret_100d_stop7,stop_hit_100d_stop7,ret_100d_stop8,stop_hit_100d_stop8,ret_200d,ret_200d_stop5,stop_hit_200d_stop5,ret_200d_stop6,stop_hit_200d_stop6,ret_200d_stop7,stop_hit_200d_stop7,ret_200d_stop8,stop_hit_200d_stop8
2025-03-26,NGD,3.470000028610229,7.780979213266814,-5.000000000000004,1,-6.000000000000016,1,-7.000000000000006,1,-7.9999999999999964,1,15.85014258736377,-5.000000000000004,1,-6.000000000000016,1,-7.000000000000006,1,-7.9999999999999964,1,42.07492183546577,-5.000000000000004,1.0,-6.000000000000016,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,47.838618793773776,-5.000000000000004,1.0,-6.000000000000016,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,204.0345851224747,-5.000000000000004,1.0,-6.000000000000016,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0
2025-03-31,NGD,3.7100000381469727,-6.469002885957275,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,4.582212251912932,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,32.884091041707954,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,49.32614298893867,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,180.5929849157515,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0
2025-04-30,NGD,3.9800000190734863,6.7839190862458265,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,6.7839190862458265,0,22.613067614430427,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,22.613067614430427,0,3.7688465992105735,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,3.7688465992105735,0.0,74.37185989853432,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,74.37185989853432,0.0,,,,,,,,,
2025-11-12,NGD,7.579999923706055,2.7704490799558945,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,23.087071472480723,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,49.340366870209486,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,,,,,,,,,,,,,,,,,,
2025-12-11,NGD,8.550000190734863,6.081865409229459,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,6.081865409229459,0,47.13449874934821,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,47.13449874934821,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-19,NGD,8.819999694824219,16.213155948462664,-5.000000000000004,1,-6.000000000000005,1,16.213155948462664,0,16.213155948462664,0,15.873022909809652,-5.000000000000004,1,-6.000000000000005,1,15.873022909809652,0,15.873022909809652,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-10,NGG,74.5199966430664,0.9796073400675898,0.9796073400675898,0,0.9796073400675898,0,0.9796073400675898,0,0.9796073400675898,0,0.8990953147099745,0.8990953147099745,0,0.8990953147099745,0,0.8990953147099745,0,0.8990953147099745,0,6.53516232684257,6.53516232684257,0.0,6.53516232684257,0.0,6.53516232684257,0.0,6.53516232684257,0.0,,,,,,,,,,,,,,,,,,
2025-10-15,NGG,75.02999877929688,0.4531573674754874,0.4531573674754874,0,0.4531573674754874,0,0.4531573674754874,0,0.4531573674754874,0,0.6397485868892883,0.6397485868892883,0,0.6397485868892883,0,0.6397485868892883,0,0.6397485868892883,0,6.3041495853505936,6.3041495853505936,0.0,6.3041495853505936,0.0,6.3041495853505936,0.0,6.3041495853505936,0.0,,,,,,,,,,,,,,,,,,
2025-11-07,NGG,77.75,-2.7009626676798626,-5.000000000000004,1,-2.7009626676798626,0,-2.7009626676798626,0,-2.7009626676798626,0,-1.7234679587017632,-5.000000000000004,1,-1.7234679587017632,0,-1.7234679587017632,0,-1.7234679587017632,0,11.755626224628223,-5.000000000000004,1.0,11.755626224628223,0.0,11.755626224628223,0.0,11.755626224628223,0.0,,,,,,,,,,,,,,,,,,
2025-11-19,NGS,30.989999771118164,8.067124639602508,8.067124639602508,0,8.067124639602508,0,8.067124639602508,0,8.067124639602508,0,12.262023789850684,12.262023789850684,0,12.262023789850684,0,12.262023789850684,0,12.262023789850684,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-03,NGS,31.729999542236328,7.185624999023177,7.185624999023177,0,7.185624999023177,0,7.185624999023177,0,7.185624999023177,0,6.019539473581381,6.019539473581381,0,6.019539473581381,0,6.019539473581381,0,6.019539473581381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-09,NGS,32.959999084472656,2.093454067270617,2.093454067270617,0,2.093454067270617,0,2.093454067270617,0,2.093454067270617,0,5.88592990076926,5.88592990076926,0,5.88592990076926,0,5.88592990076926,0,5.88592990076926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05,NGVC,48.31999969482422,-7.9677121242479725,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,-21.999174534874577,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,4.697848659148107,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,-17.57035992837337,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,-37.189568350265,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0
2025-12-10,NGVT,58.83000183105469,2.141761486174376,2.141761486174376,0,2.141761486174376,0,2.141761486174376,0,2.141761486174376,0,17.746038563780473,17.746038563780473,0,17.746038563780473,0,17.746038563780473,0,17.746038563780473,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-25,NHC,137.9499969482422,1.8195069381311768,1.8195069381311768,0,1.8195069381311768,0,1.8195069381311768,0,1.8195069381311768,0,-5.936935572734425,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-5.936935572734425,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,NHPAP,19.020000457763672,1.4721281417350518,1.4721281417350518,0,1.4721281417350518,0,1.4721281417350518,0,1.4721281417350518,0,-0.7360740989883818,-0.7360740989883818,0,-0.7360740989883818,0,-0.7360740989883818,0,-0.7360740989883818,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05,NHPAP,19.239999771118164,-0.4158000242086568,-0.4158000242086568,0,-0.4158000242086568,0,-0.4158000242086568,0,-0.4158000242086568,0,-0.6236950795857066,-0.6236950795857066,0,-0.6236950795857066,0,-0.6236950795857066,0,-0.6236950795857066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-15,NHPAP,19.38500022888184,-4.668561650554659,-5.000000000000004,1,-4.668561650554659,0,-4.668561650554659,0,-4.668561650554659,0,0.2579274514840968,-5.000000000000004,1,0.2579274514840968,0,0.2579274514840968,0,0.2579274514840968,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,NHPBP,18.725000381469727,-0.5767679542619364,-0.5767679542619364,0,-0.5767679542619364,0,-0.5767679542619364,0,-0.5767679542619364,0,-1.6822458084932324,-1.6822458084932324,0,-1.6822458084932324,0,-1.6822458084932324,0,-1.6822458084932324,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-12,NI,38.79999923706055,-0.5412347644380144,-0.5412347644380144,0,-0.5412347644380144,0,-0.5412347644380144,0,-0.5412347644380144,0,2.4484556227311494,2.4484556227311494,0,2.4484556227311494,0,2.4484556227311494,0,2.4484556227311494,0,2.0103160034320444,-4.999999999999993,1.0,-6.000000000000005,1.0,-6.999999999999995,1.0,-7.9999999999999964,1.0,1.3917549642927574,-4.999999999999993,1.0,-6.000000000000005,1.0,-6.999999999999995,1.0,-7.9999999999999964,1.0,13.737118391393267,-4.999999999999993,1.0,-6.000000000000005,1.0,-6.999999999999995,1.0,-7.9999999999999964,1.0
2025-02-28,NI,40.810001373291016,-3.8716044545118677,-4.999999999999993,1,-6.000000000000005,1,-3.8716044545118677,0,-3.8716044545118677,0,-5.68488021748167,-4.999999999999993,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,-3.749087337682566,-4.999999999999993,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,2.670914275688463,-4.999999999999993,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,2.499388442636108,-4.999999999999993,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0
2025-05-19,NIC,123.56999969482422,-2.4115912958591834,-5.000000000000004,1,-6.000000000000005,1,-2.4115912958591834,0,-2.4115912958591834,0,5.268270739101677,-5.000000000000004,1,-6.000000000000005,1,5.268270739101677,0,5.268270739101677,0,6.368861994026265,-5.000000000000004,1.0,-6.000000000000005,1.0,6.368861994026265,0.0,6.368861994026265,0.0,4.06247200409815,-5.000000000000004,1.0,-6.000000000000005,1.0,4.06247200409815,0.0,4.06247200409815,0.0,,,,,,,,,
2025-07-16,NIC,136.02999877929688,-7.0866716725396355,-4.999999999999993,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,2.565614588313303,-4.999999999999993,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,-3.2639877095124947,-4.999999999999993,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,-4.660733951910867,-4.999999999999993,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,,,,,,,,,
2025-10-29,NIM,9.420000076293944,0.10615954141022232,0.10615954141022232,0,0.10615954141022232,0,0.10615954141022232,0,0.10615954141022232,0,-1.0615751662399697,-1.0615751662399697,0,-1.0615751662399697,0,-1.0615751662399697,0,-1.0615751662399697,0,-1.0615751662399697,-1.0615751662399697,0.0,-1.0615751662399697,0.0,-1.0615751662399697,0.0,-1.0615751662399697,0.0,,,,,,,,,,,,,,,,,,
2025-08-12,NIU,4.300000190734863,1.6278998074243267,1.6278998074243267,0,1.6278998074243267,0,1.6278998074243267,0,1.6278998074243267,0,7.906968852776419,-5.000000000000016,1,-6.000000000000005,1,7.906968852776419,0,7.906968852776419,0,-9.302327386619758,-5.000000000000016,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,-22.558144744245634,-5.000000000000016,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,,,,,,,,,
2025-03-19,NJR,49.27999877929688,-3.6525959449024037,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000018,1,-3.6525959449024037,0,-0.7508095394682002,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000018,1,-0.7508095394682002,0,-9.4358722125926,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000018,1.0,-8.000000000000007,1.0,-3.490254562929207,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000018,1.0,-8.000000000000007,1.0,-7.183435853324904,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000018,1.0,-8.000000000000007,1.0
2025-04-02,NJR,49.560001373291016,-0.36319673161426813,-5.000000000000016,1,-5.999999999999995,1,-7.000000000000006,1,-7.999999999999985,1,-6.698949965351375,-5.000000000000016,1,-5.999999999999995,1,-7.000000000000006,1,-7.999999999999985,1,-9.564167770627396,-5.000000000000016,1.0,-5.999999999999995,1.0,-7.000000000000006,1.0,-7.999999999999985,1.0,-5.770783961061143,-5.000000000000016,1.0,-5.999999999999995,1.0,-7.000000000000006,1.0,-7.999999999999985,1.0,-3.0871722187213013,-5.000000000000016,1.0,-5.999999999999995,1.0,-7.000000000000006,1.0,-7.999999999999985,1.0
2025-12-10,NKSH,31.86000061035156,3.6095344919987227,3.6095344919987227,0,3.6095344919987227,0,3.6095344919987227,0,3.6095344919987227,0,13.465162690968357,13.465162690968357,0,13.465162690968357,0,13.465162690968357,0,13.465162690968357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-18,NLOP,33.25,-8.240600815392963,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,-5.353385523745901,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,-9.774436090225569,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,1.9248101944313811,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,-11.218043736049111,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0
2025-02-28,NLY,21.959999084472656,-1.2750400317405042,-1.2750400317405042,0,-1.2750400317405042,0,-1.2750400317405042,0,-1.2750400317405042,0,-20.3096505938664,-5.000000000000004,1,-5.999999999999995,1,-7.000000000000006,1,-7.9999999999999964,1,-13.479049216197803,-5.000000000000004,1.0,-5.999999999999995,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,-6.375226215378927,-5.000000000000004,1.0,-5.999999999999995,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,1.8215006491586472,-5.000000000000004,1.0,-5.999999999999995,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0
2025-10-30,NMAI,13.210000038146973,-3.709309384581183,-3.709309384581183,0,-3.709309384581183,0,-3.709309384581183,0,-3.709309384581183,0,-1.438301134251574,-1.438301134251574,0,-1.438301134251574,0,-1.438301134251574,0,-1.438301134251574,0,2.195306290806842,2.195306290806842,0.0,2.195306290806842,0.0,2.195306290806842,0.0,2.195306290806842,0.0,,,,,,,,,,,,,,,,,,
2025-11-12,NMAI,13.380000114440918,-0.5979067490418877,-5.000000000000016,1,-0.5979067490418877,0,-0.5979067490418877,0,-0.5979067490418877,0,-2.6158473727662668,-5.000000000000016,1,-2.6158473727662668,0,-2.6158473727662668,0,-2.6158473727662668,0,3.7369207453171516,-5.000000000000016,1.0,3.7369207453171516,0.0,3.7369207453171516,0.0,3.7369207453171516,0.0,,,,,,,,,,,,,,,,,,
2025-07-17,NMG,2.190000057220459,-11.87215081640397,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,-12.785391930739731,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,52.51140762107689,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,42.00912391952296,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,,,,,,,,,
2025-11-06,NMI,10.09000015258789,-0.5946523162470907,-0.5946523162470907,0,-0.5946523162470907,0,-0.5946523162470907,0,-0.5946523162470907,0,-1.4866260647787732,-1.4866260647787732,0,-1.4866260647787732,0,-1.4866260647787732,0,-1.4866260647787732,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2025-11-10,NMM,50.38999938964844,7.898391725430209,7.898391725430209,0,7.898391725430209,0,7.898391725430209,0,7.898391725430209,0,2.421117752491475,2.421117752491475,0,2.421117752491475,0,2.421117752491475,0,2.421117752491475,0,19.507842726971838,19.507842726971838,0.0,19.507842726971838,0.0,19.507842726971838,0.0,19.507842726971838,0.0,,,,,,,,,,,,,,,,,,
